id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,mecanicas,n_categorias,categorias,temas,link,tx_retencao,idx_desejo,tx_fidelizacao,diversidade_mecanica,amplitude_publico,nota_media,nota_rank,qt_avaliacoes
37648,Tainted Grail: Monarcas da Ruína,2023,2026.0,1,4.0,120,14,262,8,17,276,75,6,"Construção de Baralho, Bolsas e Peças;Movimento de Área;Narração de Histórias;Rolagem de Dados;Tabuleiro Modular;Cenário / Missão / Campanha",0,,Aventura;Fantasia;Mitologia,https://ludopedia.com.br/jogo/tainted-grail-kings-of-ruin,0.9703703703703703,1.0534351145038168,0.0648854961832061,6,3.0,9.67,7.58,38
23795,Frosthaven,2022,2025.0,1,4.0,120,12,426,14,68,806,202,17,"Seleção de Ação Simultânea;Campanha / Batalhas Dirigidas por Cartas;Cooperativo;Gerenciamento de Mãos;Jogadores com Diferentes Habilidades;Movimento em Grades;Narração de Histórias;RPG;Tabuleiro Modular;Legado;Cenário / Missão / Campanha;Cartas Multiuso;Comunicação Limitada;Construção de Baralho, Bolsas e Peças;Criação de Baralho;Habilidades 1 vez por Partida;Solo / Solitário",2,Miniaturas;Dungeon Crawler,Aventura;Fantasia;Luta / Artes Marciais,https://ludopedia.com.br/jogo/frosthaven,0.9681818181818181,1.892018779342723,0.1596244131455399,17,3.0,9.64,8.34,90
40874,The Elder Scrolls: Betrayal of the Second Era,2025,2026.0,1,4.0,240,14,478,11,55,591,221,7,Cooperativo;Rolagem de Dados;Tabuleiro Modular;Cenário / Missão / Campanha;Árvores / Trilhas de Tecnologia;Grade Hexagonal;Preparação Variável,1,Dungeon Crawler,Aventura;Fantasia;Tema de Video Game,https://ludopedia.com.br/jogo/the-elder-scrolls-betrayal-of-the-second-era,0.9775051124744376,1.2364016736401673,0.11506276150627615,7,3.0,9.6,8.24,82
66596,Breachers - Fendas de Sempreterna,2026,2026.0,1,4.0,60,14,130,3,15,137,24,7,Colocação de Peças;Cooperativo;Movimento em Grades;Jogadores com Diferentes Habilidades;Resolução por Símbolos nos Dados;Rolagem de Dados;Tabuleiro Modular,1,Dungeon Crawler,Aventura;Fantasia,https://ludopedia.com.br/jogo/breachers-fendas-de-sempreterna,0.9774436090225563,1.0538461538461539,0.11538461538461539,7,3.0,9.55,7.15,24
63567,Brass Birmingham: Deluxe Edition,2018,2021.0,2,4.0,120,14,485,14,54,160,371,11,Colocação de Peças;Gerenciamento de Mãos;Árvores / Trilhas de Tecnologia;Cartas Multiuso;Construção de Redes e Rotas;Empréstimos;Marcas;Mercado;Ordem de Turno: Baseado em Estatísticas;Preparação Variável;Rendimentos,1,Expansão ou Suplemento,Economia / Produção,https://ludopedia.com.br/jogo/brass-birmingham-deluxe-edition,0.9719438877755511,0.32989690721649484,0.11134020618556702,11,2.0,9.51,8.61,144
78916,Monstros & Tesouros - Campos de Batalha,2026,2026.0,1,4.0,120,14,134,6,7,104,29,11,Cenário / Missão / Campanha;Cooperativo;Eliminação de Jogadores;Grade Hexagonal;Jogadores com Diferentes Habilidades;Movimento Ponto-a-Ponto;Múltiplos Mapas;Rolagem de Dados;Seleção de Ação;Solo / Solitário;Tabuleiro Modular,2,Jogo de Guerra;Miniaturas,Fantasia;Medieval,https://ludopedia.com.br/jogo/monstros-tesouros-campos-de-batalha,0.9571428571428572,0.7761194029850746,0.05223880597014925,11,3.0,9.46,6.92,18
78912,Trickerion: Anniversary Edition,2025,2026.0,1,4.0,180,14,212,3,21,104,157,6,"Alocação de Diferentes Tipos de Trabalhadores;Alocação de Trabalhadores;Construção de Baralho, Bolsas e Peças;Fila de Ações;Pontos de Ação;Seleção de Ação Simultânea",0,,História,https://ludopedia.com.br/jogo/trickerion-anniversary-edition,0.986046511627907,0.49056603773584906,0.09905660377358491,6,3.0,9.45,7.69,48
36265,The Castles of Burgundy: Special Edition,2023,2023.0,1,4.0,120,12,713,35,200,1693,1250,8,Colocação de Peças;Rolagem de Dados;Colecionar Conjuntos;Jogo em Equipe;Alocação de Trabalhadores com Dados;Bônus de Fim de Jogo;Movimento em Grades;Solo / Solitário,2,Estratégia Abstrata;Jogo de Dados,Medieval,https://ludopedia.com.br/jogo/the-castles-of-burgundy-special-edition,0.9532085561497327,2.3744740532959328,0.2805049088359046,8,3.0,9.42,9.07,445
63556,Puerto Rico 1897: Edição Especial ,2025,2026.0,1,5.0,120,14,645,10,69,526,886,8,Bônus de Fim de Jogo;Ordem de Fases Variável;Ordem do Turno: Progressivo;Pontos de Vitória Ocultos;Seguir Ação;Seleção de Ação;Valorização dos Recursos Não Escolhidos;Solo / Solitário,1,Miniaturas,Economia / Produção,https://ludopedia.com.br/jogo/puerto-rico-1897-special-edition,0.9847328244274809,0.8155038759689922,0.10697674418604651,8,4.0,9.34,8.78,250
35379,Terra Mystica: Big Box 2022,2022,2025.0,1,5.0,150,14,226,15,29,216,132,10,Construção de Redes e Rotas;Jogadores com Diferentes Habilidades;Árvores / Trilhas de Tecnologia;Bônus de Fim de Jogo;Grade Hexagonal;Ordem do Turno: Ordem de Passe;Pontos de Vitória como Recurso;Valorização dos Recursos Não Escolhidos;Preparação Variável;Rendimentos,1,Jogo Assimétrico,Civilização;Economia / Produção;Fantasia,https://ludopedia.com.br/jogo/terra-mystica-big-box-2022,0.9377593360995851,0.9557522123893806,0.12831858407079647,10,4.0,9.34,7.96,71
48357,Dragon Eclipse,2024,2026.0,1,2.0,120,12,136,3,18,383,46,4,Cenário / Missão / Campanha;Cooperativo;Criação de Baralho;Gerenciamento de Mãos,1,Jogo de Cartas,Fantasia;Medieval,https://ludopedia.com.br/jogo/dragon-eclipse,0.9784172661870504,2.8161764705882355,0.1323529411764706,4,1.0,9.33,7.25,30
50473,Terra Mystica: Era da Inovação,2023,2025.0,1,5.0,200,14,644,47,132,1099,1041,4,Grade Hexagonal;Jogadores com Diferentes Habilidades;Ordem do Turno: Ordem de Passe;Pontos de Vitória como Recurso,0,,Fantasia,https://ludopedia.com.br/jogo/age-of-innovation,0.9319826338639653,1.7065217391304348,0.20496894409937888,4,4.0,9.31,8.86,315
44772,Calamandara,2024,2024.0,2,4.0,90,13,295,14,41,315,237,10,Corrida;Gerenciamento de Mãos;Eventos;Movimento em Grades;Toma Essa;Captura de Peças;Colocação de Peças;Fim por Morte Súbita;Grade com Quadrados;Tabuleiro Modular,2,Estratégia Abstrata;Jogo de Cartas,Aventura;Fantasia;Literatura,https://ludopedia.com.br/jogo/calamandara,0.9546925566343042,1.0677966101694916,0.13898305084745763,10,2.0,9.27,8.37,132
24320,Seven Galaxies,2020,2020.0,2,6.0,30,10,124,9,26,48,42,4,Gerenciamento de Mãos;Eliminação de Jogadores;Jogadores com Diferentes Habilidades;Toma Essa,2,Colecionável;Jogo de Cartas,Ficção Científica;Fantasia,https://ludopedia.com.br/jogo/seven-galaxies,0.9323308270676691,0.3870967741935484,0.20967741935483872,4,4.0,9.26,7.58,47
77106,Everdell Silverfrost,2025,2026.0,1,4.0,60,10,213,3,20,401,160,4,Colecionar Conjuntos;Gerenciamento de Mãos;Alocação de Trabalhadores;Compra Aberta,0,,Animais;Fantasia,https://ludopedia.com.br/jogo/everdell-silverfrost,0.9861111111111112,1.8826291079812207,0.09389671361502347,4,3.0,9.26,7.41,38
85965,Nippon: Zaibatsu - Edição Imperial,2026,2026.0,1,4.0,120,12,134,0,10,82,242,6,Alocação de Diferentes Tipos de Trabalhadores;Alocação de Trabalhadores;Bônus de Fim de Jogo;Contratos;Influência / Maioria na Área;Solo / Solitário,0,,Cultura Oriental;Economia / Produção,https://ludopedia.com.br/jogo/nippon-zaibatsu-emperor-s-edition,1.0,0.6119402985074627,0.07462686567164178,6,3.0,9.25,7.69,54
